name,cost,position,points,ppd,roi
Kyle MacLean,1020000,F,9,113333,0.000008824
Aaron Ekblad,2100000,D,18,116667,0.000008571
Declan Chisholm,1090000,D,9,121111,0.000008257
Kaedan Korczak,1110000,D,9,123333,0.000008108
Parker Wotherspoon,1000000,D,8,125000,0.000008000
Travis Boyd,1000000,C,8,125000,0.000008000
Dryden Hunt,1000000,F,8,125000,0.000008000
William Carrier,1000000,F,8,125000,0.000008000
Marco Scandella,1000000,D,8,125000,0.000008000
Conor Timmins,1290000,D,10,129000,0.000007752
Logan Stankoven,1810000,C,14,129286,0.000007735
Thomas Bordeleau,1500000,C,11,136364,0.000007333
Ryker Evans,1270000,D,9,141111,0.000007087
Mikhail Sergachev,2700000,D,19,142105,0.000007037
Troy Stecher,1000000,D,7,142857,0.000007000
Noah Juulsen,1000000,D,7,142857,0.000007000
Luke Schenn,1000000,D,7,142857,0.000007000
Brayden Pachal,1000000,D,7,142857,0.000007000
Mattias Samuelsson,1000000,D,7,142857,0.000007000
Ryan Lomberg,1000000,F,7,142857,0.000007000
Adam Boqvist,1510000,D,50,30200,0.000033113
Trevor Zegras,2270000,C,15,151333,0.000006608
Andreas Athanasiou,1400000,F,9,155556,0.000006429
Dougie Hamilton,2520000,D,16,157500,0.000006349
Tony DeAngelo,1820000,D,11,165455,0.000006044
Carson Soucy,1000000,D,6,166667,0.000006000
Erik Johnson,1000000,D,6,166667,0.000006000
Josh Doan,1500000,F,9,166667,0.000006000
Justin Brazeau,1210000,F,7,172857,0.000005785
Daniil Miromanov,1220000,D,7,174286,0.000005738
Barrett Hayton,1750000,F,10,175000,0.000005714
Olen Zellweger,1590000,D,9,176667,0.000005660
Justin Holl,1000000,D,5,200000,0.000005000
Scott Mayfield,1000000,D,5,200000,0.000005000
Simon Benoit,1000000,D,5,200000,0.000005000
Samuel Bolduc,1000000,D,5,200000,0.000005000
Shane Wright,1000000,C,65,15385,0.000065000
Caleb Jones,1000000,D,5,200000,0.000005000
Haydn Fleury,1000000,D,5,200000,0.000005000
Jakub Vrana,1230000,F,6,205000,0.000004878
Rasmus Ristolainen,1000000,D,4,250000,0.000004000
Spencer Stastney,1000000,D,4,250000,0.000004000
Derek Forbort,1000000,D,4,250000,0.000004000
William Lagesson,1000000,D,4,250000,0.000004000
Ross Johnston,1000000,F,4,250000,0.000004000
Akil Thomas,1000000,F,4,250000,0.000004000
Jesse Puljujarvi,1000000,F,4,250000,0.000004000
Nicolas Deslauriers,1000000,F,4,250000,0.000004000
Brandt Clarke,1550000,D,6,258333,0.000003871
Filip Chytil,1690000,C,6,281667,0.000003550
Patrik Laine,2590000,F,9,287778,0.000003475
Jared Spurgeon,1490000,D,5,298000,0.000003356
Mason Shaw,1000000,C,3,333333,0.000003000
Alexander Alexeyev,1000000,D,3,333333,0.000003000
Jakob Pelletier,1000000,F,3,333333,0.000003000
Anthony Richard,1000000,F,3,333333,0.000003000
John Klingberg,1740000,D,5,348000,0.000002874
Sebastian Aho,4020000,C,9,446667,0.000002239
Taylor Hall,1930000,F,4,482500,0.000002073
Phillip Broberg,1000000,D,2,500000,0.000002000
