name,cost,position,points,ppd,roi,actual
Nazem Kadri,2350000,C,34,69117.65,0.000014468,C
Sean Couturier,3460000,C,50,69200.00,0.000014451,C
Jack Eichel,4440000,C,64,69375.00,0.000014414,C
Carl Hagelin,1320000,F,19,69473.68,0.000014394,LW
Sean Walker,1600000,D,23,69565.22,0.000014375,RD
Evgeny Kuznetsov,3270000,C,47,69574.47,0.000014373,C
Calle Jarnkrok,2020000,F,29,69655.17,0.000014356,LW
Eric Staal,2510000,C,36,69722.22,0.000014343,C
Pavel Buchnevich,2650000,F,38,69736.84,0.000014340,RW
Patrick Kane,4680000,F,67,69850.75,0.000014316,RW
Ryan Johansen,2800000,C,40,70000.00,0.000014286,C
Mikael Granlund,2240000,F,32,70000.00,0.000014286,RW
Christian Fischer,1400000,F,20,70000.00,0.000014286,RW
Travis Zajac,1400000,C,20,70000.00,0.000014286,C
J.T. Miller,3860000,F,55,70181.82,0.000014249,LW
Anders Bjork,1270000,F,18,70555.56,0.000014173,LW
Elias Pettersson,4100000,C,58,70689.66,0.000014146,C
Martin Necas,1980000,F,28,70714.29,0.000014141,RW
Matt Duchene,2830000,C,40,70750.00,0.000014134,C
Pavel Zacha,1770000,C,25,70800.00,0.000014124,C
Charlie McAvoy,2200000,D,31,70967.74,0.000014091,RD
Ivan Provorov,2060000,D,29,71034.48,0.000014078,LD
Dylan Larkin,3410000,C,48,71041.67,0.000014076,C
Kyle Okposo,1280000,F,18,71111.11,0.000014063,RW
Brock Boeser,2850000,F,40,71250.00,0.000014035,RW
Nikolaj Ehlers,3350000,F,47,71276.60,0.000014030,LW
Adrian Kempe,2210000,F,31,71290.32,0.000014027,LW
Mark Jankowski,1070000,F,15,71333.33,0.000014019,LW
Nikita Nesterov,1000000,D,14,71428.57,0.000014000,LD
Cody Ceci,1000000,D,14,71428.57,0.000014000,RD
Scott Perunovich,1000000,D,14,71428.57,0.000014000,LD
Ryan McDonagh,1000000,D,14,71428.57,0.000014000,LD
Morgan Geekie,1000000,C,14,71428.57,0.000014000,C
Nick Bjugstad,1000000,F,14,71428.57,0.000014000,C/RW
Alexander Volkov,1000000,F,14,71428.57,0.000014000,LW
