name,cost,position,points,ppd,roi
James van Riemsdyk,1600000,F,38,42105,0.000023750
Lars Eller,1270000,C,31,40968,0.000024409
Devon Toews,2470000,D,50,49400,0.000020243
William Nylander,4340000,F,98,44286,0.000022581
Drew Doughty,2540000,D,50,50800,0.000019685
Jeff Petry,1140000,D,24,47500,0.000021053
Roope Hintz,3570000,C,65,54923,0.000018207
Jack Quinn,1870000,F,19,98421,0.000010160
Noah Gregor,1000000,F,12,83333,0.000012000
Jamie Drysdale,1000000,D,10,100000,0.000010000
Cole Sillinger,1510000,C,32,47188,0.000021192
Alexey Toropchenko,1020000,F,21,48571,0.000020588
Max Jones,1030000,F,15,68667,0.000014563
John Klingberg,1740000,D,5,348000,0.000002874
Alex Kerfoot,2120000,C,45,47111,0.000021226
Brady Skjei,2020000,D,47,42979,0.000023267
Nils Hoglander,1770000,F,36,49167,0.000020339
Nicholas Paul,2050000,F,46,44565,0.000022439
Dylan Cozens,2880000,C,47,61277,0.000016319
Jake Guentzel,4050000,F,77,52597,0.000019012
Jacob MacDonald,1000000,D,9,111111,0.000009000
Teddy Blueger,1290000,C,28,46071,0.000021705
Jackson LaCombe,1000000,D,17,58824,0.000017000
Sam Carrick,1020000,C,16,63750,0.000015686
Evgenii Dadonov,1310000,F,23,56957,0.000017557
Noah Cates,1370000,F,18,76111,0.000013139
Victor Hedman,3750000,D,76,49342,0.000020267
Filip Hronek,2260000,D,48,47083,0.000021239
Elias Pettersson,4200000,C,89,47191,0.000021190
Phillip Di Giuseppe,1000000,F,10,100000,0.000010000
William Carrier,1000000,F,8,125000,0.000008000
Nico Hischier,3580000,C,67,53433,0.000018715
Seth Jones,2160000,D,31,69677,0.000014352
Nick Schmaltz,2380000,C,61,39016,0.000025630
Bo Horvat,3050000,C,68,44853,0.000022295
Matt Duchene,2900000,C,65,44615,0.000022414
Troy Terry,3110000,F,54,57593,0.000017363
John Tavares,3150000,C,65,48462,0.000020635
Jake Bean,1000000,D,13,76923,0.000013000
Nolan Foote,1220000,F,1,1220000,0.000000820
Ryan Strome,1780000,C,41,43415,0.000023034
Mattias Ekholm,2040000,D,45,45333,0.000022059
Leo Carlsson,2190000,C,29,75517,0.000013242
Matt Dumba,1000000,D,12,83333,0.000012000
Zach Benson,1620000,F,30,54000,0.000018519
Gustav Nyquist,2730000,F,75,36400,0.000027473
Dougie Hamilton,2520000,D,16,157500,0.000006349
Frederick Gaudreau,1140000,C,15,76000,0.000013158
Nick Suzuki,3360000,C,77,43636,0.000022917
Pavel Dorofeyev,1430000,F,24,59583,0.000016783
Tyson Barrie,1410000,D,15,94000,0.000010638
Luke Schenn,1000000,D,7,142857,0.000007000
Chris Kreider,3230000,F,75,43067,0.000023220
Tyler Toffoli,2740000,F,55,49818,0.000020073
Robby Fabbri,1660000,F,32,51875,0.000019277
Nils Lundkvist,1240000,D,19,65263,0.000015323
Jaccob Slavin,1750000,D,37,47297,0.000021143
Peyton Krebs,1060000,F,17,62353,0.000016038
Ryan Donato,1470000,F,30,49000,0.000020408
Kent Johnson,1550000,F,16,96875,0.000010323
Simon Nemec,1620000,D,19,85263,0.000011728
Aleksander Barkov,3950000,C,80,49375,0.000020253
Jean-Gabriel Pageau,1760000,C,33,53333,0.000018750
Jacob Bernard-Docker,1000000,D,14,71429,0.000014000
Pierre Engvall,1540000,F,28,55000,0.000018182
Cameron York,1970000,D,30,65667,0.000015228
Valeri Nichushkin,2930000,F,53,55283,0.000018089
Dante Fabbro,1000000,D,13,76923,0.000013000
Joel Armia,1080000,F,25,43200,0.000023148
Andrei Svechnikov,3200000,F,52,61538,0.000016250
Mason Marchment,2430000,F,53,45849,0.000021811
Scott Perunovich,1400000,D,17,82353,0.000012143
Jake Middleton,1160000,D,25,46400,0.000021552
Dmitri Voronkov,1730000,F,34,50882,0.000019653
Nicolas Aube-Kubel,1000000,F,16,62500,0.000016000
Chris Tanev,1060000,D,19,55789,0.000017925
Drake Batherson,3320000,F,66,50303,0.000019880
Morgan Rielly,2850000,D,58,49138,0.000020351
Jason Dickinson,1170000,C,35,33429,0.000029915
Samuel Bolduc,1000000,D,5,200000,0.000005000
Andrei Kuzmenko,2810000,F,46,61087,0.000016370
Esa Lindell,1370000,D,26,52692,0.000018978
Sean Monahan,2310000,C,59,39153,0.000025541
Yegor Sharangovich,2970000,F,59,50339,0.000019865
Nathan MacKinnon,5230000,C,140,37357,0.000026769
Michael Carcone,1240000,F,29,42759,0.000023387
Andrew Mangiapane,2100000,F,40,52500,0.000019048
Olen Zellweger,1590000,D,9,176667,0.000005660
Justin Barron,1200000,D,13,92308,0.000010833
Jakub Vrana,1230000,F,6,205000,0.000004878
Anthony Duclair,1720000,F,42,40952,0.000024419
Jakob Pelletier,1000000,F,3,333333,0.000003000
Lucas Raymond,3270000,F,72,45417,0.000022018
Jon Marchessault,3160000,F,69,45797,0.000021835
